1,10-diaminodecane	28
1,3-propanediol	3310
1,4-butanediol	3170
2-methyltetrahydrofuran	610
2-piperidinone	41
2-pyrrolidone	957
2,5-furandicarboxylic acid	1160
3-hydroxypropionic acid	1060
5-aminovalanoicacid	0
adipic acid	4900
alkene	2440
citric acid	18700
dimethyl carbonate	1490
epichlorohydrin	2560
erythritol	1800
ethanol	66200
ethylene glycol	10300
farnesene	1450
furfural	12600
glycerol	27700
hexamethylenediamine	604
hydroxymethylfurfural	6880
isobutanol	2970
isoprene	3540
isosorbide	1020
itaconic acid	2330
L-glutamic acid	1420
L-lysine	3270
L-threonine	1080
lactic acid	30100
lactide	2920
levoglucosenone	198
levulinic acid	4850
limonene	5670
malic acid	5510
methylmethacryalte	0
monoethylene glycol	549
pentanediamine	66
poly(ethylene furanoate)	84
polyamide	5980
polybutylene adipate terephthalate	458
polybutylene succinate	1690
polycarbonate	4770
polyhydroxyalkanoate	4300
polylactic acid	8370
polytetrahydrofuran	60
polyurethane	10800
propylene	12400
sebacic acid	787
sorbitol	7240
succinic acid	8840
tetrahydrofuran	4320
xylitol	6170
γ-aminobutyric acid	1170
γ-butyrolactone	846
