1,10-diaminodecane	5370
1,3-propanediol	10100
1,4-butanediol	9900
2-methyltetrahydrofuran	6050
2-piperidinone	10
2-pyrrolidone	822
2,5-furandicarboxylic acid	2630
3-hydroxypropionic acid	5340
5-aminovalanoicacid	541
adipic acid	32700
alkene	153
citric acid	159000
dimethyl carbonate	15000
epichlorohydrin	13300
erythritol	72500
ethanol	516000
ethylene glycol	146000
farnesene	95
furfural	22500
glycerol	11900
hexamethylenediamine	17700
hydroxymethylfurfural	4490
isobutanol	23600
isoprene	15600
isosorbide	8
itaconic acid	6110
L-glutamic acid	15600
L-lysine	10800
L-threonine	3930
lactic acid	275000
lactide	8420
levoglucosenone	0
levulinic acid	6280
limonene	6130
malic acid	61700
methylmethacryalte	22000
monoethylene glycol	2580
pentanediamine	19600
poly(ethylene furanoate)	125
polyamide	47400
polybutylene adipate terephthalate	4180
polybutylene succinate	4700
polycarbonate	29000
polyhydroxyalkanoate	4890
polylactic acid	51800
polytetrahydrofuran	1810
polyurethane	298000
propylene	516000
sebacic acid	8850
sorbitol	46600
succinic acid	37000
tetrahydrofuran	42900
xylitol	54200
γ-aminobutyric acid	24600
γ-butyrolactone	3730
