1,10-diaminodecane	"癸二胺" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
1,3-propanediol	"1,3-丙二醇" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
1,4-butanediol	"1,4-丁二醇" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
2-methyltetrahydrofuran	"2-甲基四氢呋喃" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
2-piperidinone	"戊内酰胺" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
2-pyrrolidone	"丁内酰胺" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
2,5-furandicarboxylic acid	"呋喃二甲酸" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
3-hydroxypropionic acid	"3-羟基丙酸" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
5-aminovalanoicacid	"5-氨基戊酸" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
adipic acid	"己二酸" AND ("生物制造" OR "酵母" OR "发酵" OR "生物反应器" OR "生物") AND ("吨" OR "升") AND ("年产" OR "产能" OR "生产") AND ("非粮生物质" OR "玉米" OR "秸秆" OR "纤维素" OR "糖" OR "玉米芯" OR "非粮生物基材料" OR "非粮生物基" OR "生物基" OR "生物基材料")
