1,10-diaminodecane	("1,10-diaminodecane" OR "decamethylenediamine") AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
1,3-propanediol	("1,3-propanediol" OR "1,3-PDO") AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
1,4-butanediol	("1,4-butanediol" OR "1,4-BDO") AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
2-methyltetrahydrofuran	"2-methyltetrahydrofuran" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
2-piperidinone	("2-piperidinone" OR "valerolactam") AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
2-pyrrolidone	"2-pyrrolidone" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
2,5-furandicarboxylic acid	"2,5-furandicarboxylic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
3-hydroxypropionic acid	"3-hydroxypropionic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
5-aminovalanoicacid	"5-aminovalanoicacid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
adipic acid	"adipic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
alkene	"alkene" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
citric acid	"citric acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
dimethyl carbonate	"dimethyl carbonate" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
epichlorohydrin	"epichlorohydrin" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
erythritol	"erythritol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
ethanol	"ethanol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
ethylene glycol	"ethylene glycol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
farnesene	"farnesene" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
furfural	"furfural" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
glycerol	"glycerol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
hexamethylenediamine	"hexamethylenediamine" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
hydroxymethylfurfural	("hydroxymethylfurfural" OR "5-(hydroxymethyl)furfural") AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
isobutanol	"isobutanol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
isoprene	"isoprene" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
isosorbide	"isosorbide" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
itaconic acid	"itaconic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
L-glutamic acid	"L-glutamic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
L-lysine	"L-lysine" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
L-threonine	"L-threonine" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
lactic acid	"lactic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
lactide	"lactide" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
levoglucosenone	"levoglucosenone" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
levulinic acid	"levulinic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
limonene	"limonene" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
malic acid	"malic acid" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
methylmethacryalte	"methylmethacryalte" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
monoethylene glycol	"monoethylene glycol" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
pentanediamine	"pentanediamine" AND ("biomanufacturing" OR "bioreactor" OR "fermentation") AND ("ton" OR "tons" OR "tonnes" OR "metric ton" OR "metric tons" OR "metric tonnes" OR "litres") AND ("production capactiy" OR "annual production" OR "annual capacity") AND ("corn" OR "sugar" OR "sugarcane" OR "biomass" OR "starch" OR "glucose")
