Group	Chemical Name (EN)	Alternate Name (EN)	Abbreviation (EN)	Chemical Name (ZH)	Alternate Name (ZH)	Common Name (ZH)	Notes
	1,10-diaminodecane	decamethylenediamine		癸二胺			
	1,3-propanediol	1,3-PDO	PDO	1,3-丙二醇			
	1,4-butanediol	1,4-BDO	BDO	1,4-丁二醇			
	2-methyltetrahydrofuran			2-甲基四氢呋喃			
	2-piperidinone	valerolactam		戊内酰胺			
	2-pyrrolidone			丁内酰胺			
	2,5-furandicarboxylic acid		FDCA	呋喃二甲酸			
	3-hydroxypropionic acid		3HP	3-羟基丙酸			
	5-aminovalanoicacid		5-AVA	5-氨基戊酸			
	adipic acid			己二酸			
	alkene			生物基烯烃			
	citric acid			柠檬酸			
	dimethyl carbonate		DMC	碳酸二甲酯			
	epichlorohydrin			环氧氯丙烷			
	erythritol			赤藓糖醇			
	ethanol			乙醇			酒精 - in alcohol contexts
	ethylene glycol			乙二醇			
	farnesene			法呢烯	法尼烯		The characters are just replicating the sound in English, so there are a few different ways this is done 
	furfural			糠醛			
	glycerol			丙三醇			甘油 - in daily life 
	hexamethylenediamine		HMD	己二胺			
	hydroxymethylfurfural	5-(hydroxymethyl)furfural	HMF	羟甲基糠醛			
	isobutanol			异丁醇			
	isoprene			异戊二烯			
	isosorbide			异山梨醇酐			山梨醇 (sorbitol)
	itaconic acid			衣康酸			
amino acid	L-glutamic acid			L-谷氨酸			
amino acid	L-lysine			L-赖氨酸			
amino acid	L-threonine			L-苏氨酸			
	lactic acid			乳酸			
	lactide			丙交酯			
	levoglucosenone		LGO	左旋葡聚糖酮			
	levulinic acid			乙酰丙酸			
	limonene			柠檬烯			
	malic acid			苹果酸			
	methylmethacryalte		MMA	甲基丙烯酸甲酯			
	monoethylene glycol		MEG	单乙二醇			
	pentanediamine			戊二胺			
	poly(ethylene furanoate)		PEF	聚呋喃二甲酸乙二醇酯			
	polyamide		PA	聚酰胺			
	polybutylene adipate terephthalate		PBAT	聚对苯二甲酸丁二醇酯			
	polybutylene succinate		PBS	聚丁二酸丁二醇酯			
	polycarbonate		PC	聚碳酸酯			
	polyhydroxyalkanoate		PHA	聚羟基脂肪酸酯			
	polylactic acid	polylactide	PLA	聚乳酸			
	polytetrahydrofuran		PTMEG	聚四氢呋喃			
	polyurethane		PU	聚氨酯			
	propylene			丙烯			
	sebacic acid			癸二酸			
	sorbitol			山梨醇			
	succinic acid			丁二酸			
	tetrahydrofuran		THF	四氢呋喃			
	xylitol			木糖醇			
	γ-aminobutyric acid		GABA	氨基丁酸			
	γ-butyrolactone		GBL	γ-丁内酯			
